position,entropy_value
1438,2
1439,1.58496
1440,1.58496
1441,0.807355
1442,0.485427
1443,2
1444,3
1445,1.58496
1446,1.58496
1447,1.58496
1448,3.8679
1449,1.58496
1450,2.41504
1451,1.58496
1452,1.25376
1453,0.736966
1454,2.45943
1455,1
1456,2.45943
1457,0.485427
1458,4.80735
1459,0.192645
1460,1.10962
1461,1.23447
1462,1.66297
1463,0.415037
1464,1
1465,1.87447
1466,1.67807
1467,0.415037
1468,4.04439
1469,1
1470,2.32193
1471,0.222392
1472,0.0430687
1473,0.20482
1474,0.0703893
1475,1.56188
1476,2.16993
1477,3.16993
1478,1.80735
1479,0.807355
1480,3.39232
1481,0.736966
1482,1.32193
1483,1
1484,2
1485,2.58496
1486,1.58496
1487,0.485427
1488,0.263034
1489,1.58496
1490,0.584963
1491,0.584963
1492,0.0692627
1493,2.39232
1494,0.0465426
1495,3.70044
1496,2.11548
1497,2.43296
1498,1
1499,0.452512
1500,1.8365
1501,2
1502,1.71621
1503,0.5025
1504,0.174029
1505,0.222392
1506,3.52356
1507,4.24793
1508,1.45943
1509,1.152
1510,5.06609
1511,1
1512,0.736966
1513,0.222392
1514,1.32193
1515,0.473931
1516,2.73697
1517,1.87447
1518,3.16993
1519,1.15528
1520,0.474909
1521,0.389947
1522,1.82782
1523,0.211504
1524,1.23704
1525,1.87447
1526,1.19265
1527,0.485427
1528,4.18982
1529,4.39232
1530,1.58496
1531,1.58496
1532,0.584963
1533,0.584963
1534,0.540568
1535,1.42561
1536,3.7761
1537,2.07039
1538,1.26303
1539,3.60486
1540,3.27302
1541,3.45943
1542,0.584963
1543,0.0995357
1544,0.0995357
1545,1.58496
1546,1.11548
1547,3
1548,1.58496
1549,2.32193
1550,0.485427
1551,0.0671142
1552,3.1375
1553,2.70044
1554,0.415037
1555,1.68806
1556,1.26303
1557,2.05889
1558,3.45943
1559,0.321928
1560,3.58496
1561,1.58496
1562,1.58496
1563,0.584963
1564,2.80735
1565,2
1566,2
1567,3.16993
1568,2
1569,0.817136
1570,3.58496
1571,2.32193
1572,1.58496
1573,2.8365
1574,0.584963
1575,0.289507
1576,1.80735
1577,2
1578,0.754888
1579,3.77259
1580,0.584963
1581,1
1582,0.485427
1583,1.53051
1584,0.289507
1585,3.58496
1586,1.58496
1587,2
1588,0.241008
1589,3.35755
1590,0.584963
1591,5.88264
1592,1.32193
1593,4.90689
1594,2
1595,1.32193
1596,1
1597,0.180572
1598,0.180572
1599,0.180572
1600,1.73697
1601,4.45943
1602,2
1603,2
1604,0.678072
1605,0.415037
1606,0.415037
1607,3
1608,2.32193
1609,1.32193
1610,3
1611,2.39232
1612,4.24793
1613,1.67807
1614,1.54749
1615,0.736966
1616,3.62449
1617,1.32193
1618,1
1619,0.180572
1620,0.14439
1621,1.98272
1622,0.0465426
1623,5.2854
1624,1.41504
1625,3.32193
1626,1.58496
1627,1.58496
1628,1.58496
1629,1.87447
1630,0.830075
1631,3.04439
1632,1.58496
1633,0.347923
1634,0.0317089
1635,0.0443941
1636,0.400538
1637,4.74416
1638,1.64386
1639,1.11548
1640,0.527247
1641,6.88671
1642,2.32193
1643,1.32193
1644,0.736966
1645,3.24793
1646,0.222392
1647,1.28951
1648,0.160465
1649,0.106915
1650,0.0421871
1651,3.62167
1652,2
1653,1.65535
1654,0.712198
1655,0.989029
1656,0.729911
1657,0.0972972
1658,3.20716
1659,0.807355
1660,2.80735
1661,1.074
1662,3.1565
1663,2.32193
1664,0.206451
1665,4.78136
1666,3.45943
1667,0.321928
1668,0.139725
1669,0.040642
1670,4.75489
1671,4
1672,1
1673,2.29278
1674,1.62619
1675,0.536053
1676,0.0317089
1677,0.0443941
1678,0.400538
1679,2.97863
1680,1
1681,4.70044
1682,0.485427
1683,0.234465
1684,0.103093
1685,1.47534
1686,3.87447
1687,2
1688,2.80735
1689,1
1690,3.12928
1691,2.58496
1692,2.58496
1693,1.58496
1694,0.422691
1695,1.0435
1696,6.52356
1697,2.80735
1698,1
1699,0.509014
1700,0.0141442
1701,0.11211
1702,7.70044
1703,1.58496
1704,2
1705,2
1706,2
1707,1.58496
1708,2
1709,1.58496
1710,1.58496
1711,3.80735
1712,1.58496
1713,1.41504
1714,2.58496
1715,1
1716,1.32193
1717,2.32193
1718,1.58496
1719,4.54432
1720,1.26303
1721,3.16993
1722,1
1723,0.817136
1724,4.58496
1725,2.58496
1726,1.58496
1727,0.736966
1728,1
1729,2.45943
1730,2
1731,1.58496
1732,0.736966
1733,0.273018
1734,0.176878
1735,2.70044
1736,1
1737,1.1375
1738,1.22239
1739,1.90689
1740,2.11548
1741,5.04439
1742,0.938599
1743,0.584963
1744,4.80735
1745,0.289507
1746,1.45943
1747,0.192645
1748,3
1749,2.80735
1750,1.58496
1751,1
1752,0.289507
1753,3
1754,2
1755,1.58496
1756,1
1757,3.9752
1758,1.90689
1759,0.247928
1760,0.14439
1761,0.0671142
1762,0.415037
1763,1.12199
1764,4.16993
1765,0.514573
1766,1.848
1767,0.0721498
1768,0.152647
1769,3
1770,3.1375
1771,1.73697
1772,1.9386
1773,1.05063
1774,1.64386
1775,5.32193
1776,0.736966
1777,0.807355
1778,0.415037
1779,3.5411
1780,2.58496
1781,1.27302
1782,0.180572
1783,0.0759489
1784,0.0759489
1785,2.74723
1786,0.584963
1787,3
1788,2.45943
1789,2.58496
1790,1.41504
1791,1.25376
1792,0.736966
1793,2.45943
1794,1
1795,3.45943
1796,2
1797,0.662965
1798,4.88264
1799,2
1800,2
1801,0.584963
1802,0.485427
1803,0.485427
1804,0.289507
1805,0.540568
1806,1.54432
1807,0.0194962
1808,3.19162
1809,4.85798
1810,2
1811,1.58496
1812,1
1813,2
1814,1.58496
1815,1.58496
1816,2
1817,1.58496
1818,4
1819,1.58496
1820,1
1821,0.736966
1822,0.0671142
1823,4.45943
1824,1
1825,1
1826,0.736966
1827,1.32193
1828,1
1829,1
1830,2
1831,0.473931
1832,2.32193
1833,3
1834,1.58496
1835,0.514573
1836,0.148863
1837,2.41504
1838,1.45943
1839,4.64386
1840,0.485427
1841,4.75489
1842,1.58496
1843,1.58496
1844,1.58496
1845,1
1846,2
1847,2.58496
1848,1.58496
1849,2
1850,1.58496
1851,1.58496
1852,4.41504
1853,4.9542
1854,1.32193
1855,1.09954
1856,0.70044
1857,1.22239
1858,4.16993
1859,1.58496
1860,2.80735
1861,1
1862,2.97728
1863,0.321928
1864,3.45943
1865,1.58496
1866,3.45943
1867,0.152003
1868,0.0671142
1869,0.0421871
1870,4.29974
1871,2.36678
1872,1.39855
1873,1.38702
1874,2.11548
1875,0.0824622
1876,0.36257
1877,1.49476
1878,1.926
1879,8.50383
1880,2
1881,1.58496
1882,1.58496
1883,3.45943
1884,1.58496
1885,1.26303
1886,2.32193
1887,0.36257
1888,0.36257
1889,0.132104
1890,2.14684
1891,1.94753
1892,0.658963
1893,4.14975
1894,1.26303
1895,3.37851
1896,0.280108
1897,0.0801703
1898,0.0801703
1899,1.54749
1900,5.75489
1901,1.58496
1902,1.58496
1903,2
1904,0.415037
1905,0.222392
1906,0.431716
1907,1.61667
1908,2.16993
1909,1.58496
