position,entropy_value
1394,0.22741
1395,3.97784
1396,2.43105
1397,2.54382
1398,2.90357
1399,1.80735
1400,1.95936
1401,1.06634
1402,2.37662
1403,4.33196
1404,0.863938
1405,4.22882
1406,0.34192
1407,1.55943
1408,0.762961
1409,4.76553
1410,3.46216
1411,4.45474
1412,1.9386
1413,0.600393
1414,4.91886
1415,1.45066
1416,0.100694
1417,0.415037
1418,0.102362
1419,0.398549
1420,1.59495
1421,3.79735
1422,2.33136
1423,3.47032
1424,4.50524
1425,1.09761
1426,8.19804
1427,0.736966
1428,1.32193
1429,1.64981
1430,4.18982
1431,3.14684
1432,3.41954
1433,0.263034
1434,1
1435,4.62449
1436,1.21931
1437,0.845672
1438,0.453366
1439,2.2156
1440,3.85345
1441,0.970854
1442,3.00749
1443,0.684498
1444,0.746669
1445,3.48239
1446,2.48829
1447,2.40703
1448,3.24948
1449,1.48699
1450,0.726715
1451,4
1452,4.04891
1453,0.749677
1454,1.30256
1455,6.05166
1456,0.321928
1457,0.289507
1458,0.331206
1459,2.78022
1460,1.85704
1461,2.72048
1462,1.98765
1463,2.34973
1464,1.51706
1465,0.726435
1466,1.90592
1467,2.84592
1468,3.46216
1469,4.45474
1470,0.938599
1471,0.293196
1472,4.16146
1473,8.78245
1474,2.24793
1475,0.378512
1476,2.19265
1477,0.408859
1478,2.30313
1479,0.990002
1480,3.25822
1481,2.47892
1482,0.848858
1483,3.95087
1484,2.65572
1485,4.53694
1486,0.0995357
1487,0.148099
1488,6.02459
1489,2
1490,1.80069
1491,6.64024
1492,2.47805
1493,0.314873
1494,0.0995357
1495,0.445411
1496,1.70314
1497,3.29975
1498,1.82081
1499,2.51724
1500,3.72176
1501,0.453366
1502,5.1416
1503,4.32193
1504,2.58496
1505,0.807355
1506,0.192645
1507,5.7102
1508,3.80735
1509,1.48543
1510,3.84747
1511,1.20511
1512,0.902153
1513,3.94486
1514,1.28912
1515,1.65232
1516,3.22073
1517,2.23879
1518,1.86337
1519,2.88858
1520,2.25457
1521,0.848858
1522,6.17326
1523,0.768674
