context,symbol,count
be.\n\n153\nDe Formião, filósofo elegante,\nVere,i,1
abe.\n\n153\nDe Formião, filósofo elegante,\nVer,e,1
sabe.\n\n153\nDe Formião, filósofo elegante,\nVe,r,1
o sabe.\n\n153\nDe Formião, filósofo elegante,\n,V,1
to sabe.\n\n153\nDe Formião, filósofo elegante,\,n,1
rto sabe.\n\n153\nDe Formião, filósofo elegante,,\,1
erto sabe.\n\n153\nDe Formião, filósofo elegante,,,1
experto sabe.\n\n153\nDe Formião, filósofo elega,n,1
o experto sabe.\n\n153\nDe Formião, filósofo ele,g,1
r o experto sabe.\n\n153\nDe Formião, filósofo e,l,1
 particular o experto sabe.\n\n153\nDe Formião, f,i,1
m particular o experto sabe.\n\n153\nDe Formião, ,f,1
 em particular o experto sabe.\n\n153\nDe Formião,,,1
Mais em particular o experto sabe.\n\n153\nDe Form,i,1
be.\nMais em particular o experto sabe.\n\n153\nDe, ,1
 cabe.\nMais em particular o experto sabe.\n\n153\,n,1
o cabe.\nMais em particular o experto sabe.\n\n153,\,1
uito cabe.\nMais em particular o experto sabe.\n\n,1,1
muito cabe.\nMais em particular o experto sabe.\n\,n,1
s muito cabe.\nMais em particular o experto sabe.\,n,1
tes muito cabe.\nMais em particular o experto sabe,.,1
